Redshift	Magnitude
0.503084	23.001698
0.580724	23.573937
0.494795	22.960139
0.345928	22.398137
0.677662	24.078115
0.610712	23.285241
0.866494	24.353678
0.330932	21.861412
0.798566	24.510389
0.449562	22.667126
0.371443	22.273052
0.291718	21.961068
0.35582	22.926619
0.461274	22.575127
0.28361	21.256943
0.632234	23.73918
0.466414	23.789546
0.268624	21.058469
0.94689	24.460375
0.924917	24.705851
0.693165	24.03207
0.625233	23.386939
0.896944	24.333328
0.608261	23.24535
0.789054	24.222261
0.578292	23.324299
0.59028	23.431058
0.719626	23.898687
0.210032	21.056779
0.76659	24.132026
0.858513	24.246115
0.367904	22.156621
0.558746	23.699983
0.848509	24.295329
0.99639	24.617672
0.776594	24.397768
0.582932	23.273246
0.583743	23.335798
0.796552	24.128917
0.588721	23.396414
0.913473	24.343967
0.768587	24.546176
0.948455	24.677344
0.513793	23.572554
0.733609	23.98538
0.637701	24.012142
0.765588	24.244208
0.434861	22.556493
0.983407	24.760473
0.700631	23.857842
0.662058	24.072652
0.838126	24.337904
0.621874	23.581303
0.370586	22.462924
0.416632	22.546572
0.35857	22.425017
0.451681	22.903257
0.522762	23.329087
0.733996	24.211821
0.701965	24.226777
0.742008	24.094212
0.746118	23.855911
0.34956	22.510167
0.591835	23.386183
0.514746	23.776721
0.620632	23.784306
0.643646	23.786478
1.002795	25.039369
0.470586	23.532383
0.610643	23.559958
0.263487	21.66648
0.358336	22.515607
0.742697	24.096172
0.451556	23.241924
0.910752	24.654449
0.552605	23.48813
0.337534	21.966214
0.750681	23.808932
0.983777	24.982708
0.822697	24.373493
0.813696	24.296809
0.950763	24.595947
0.817732	24.272419
0.34052	22.137345
0.960751	24.586694
0.81072	24.233543
0.756687	24.054929
0.611252	24.015491
0.877971	24.329232
0.548325	23.336908
0.809032	24.395023
1.0288	24.58883
0.627239	23.512839
0.422452	22.726347
0.9339	24.815885
0.701158	23.921414
0.697164	23.589462
0.685179	24.117729
0.767075	24.198308
0.931901	24.398812
0.863978	24.398482
0.7491	23.830175
0.514353	22.880762
0.468406	22.634969
0.470398	23.758954
0.958871	24.773087
0.927909	24.759723
0.840522	24.254281
0.630699	23.700974
0.562751	23.506645
0.615698	24.070744
0.828528	24.361588
0.564741	23.285141
0.578745	23.278595
0.557743	23.522028
0.864497	24.277329
0.735608	24.300208
0.858507	24.622355
0.261984	21.189797
0.585743	24.087789
0.76158	24.040031
0.4888	22.868484
0.858516	24.427101
0.688656	23.604428
0.558743	24.148746
0.324532	21.993375
0.480704	22.671051
0.185371	20.758955
0.922221	24.664061
0.681942	23.499419
0.475707	22.715329
0.92221	24.380224
0.893183	24.576
0.428646	23.396803
0.631882	23.605938
0.69996	24.456174
0.736007	24.383943
0.575823	23.652601
0.418633	22.46895
0.511746	22.907226
0.535771	22.991731
0.641893	23.677878
0.734996	24.000974
0.35156	22.684908
0.60986	23.927615
0.349557	22.228291
0.701969	23.957522
0.355261	22.387222
0.98328	24.666688
0.872152	24.426592
0.75903	24.106956
0.92622	24.811277
0.643642	23.6153
0.419569	22.938058
0.515587	23.62109
0.890729	24.223935
0.805696	23.903235
0.480568	22.948758
0.800697	24.207672
0.580604	23.516572
0.715652	23.992197
0.805695	24.393736
0.766684	24.298577
0.664638	23.512551
0.901736	24.408439
0.745665	23.919586
0.71868	23.72368
0.73669	23.691578
0.5796	23.295137
0.370531	22.62937
0.96074	24.718789
0.850729	24.140236
0.64864	23.974975
0.219462	20.852122
0.936755	24.494384
0.647639	23.898505
0.461564	22.975035
0.600603	23.845284
0.670654	24.064257
0.760698	24.031872
0.246492	21.50567
0.470573	23.023421
0.169455	20.293205
0.497379	23.102539
0.638234	23.888138
0.507371	23.559122
0.535327	22.871803
0.587285	23.613598
0.773081	24.049363
0.699166	24.107325
0.370511	22.212225
0.761089	24.081977
0.699169	23.733171
0.78806	23.975847
0.373513	22.144613
0.405478	22.801779
0.852994	24.43276
0.808048	24.608413
0.603272	23.829442
0.58329	23.712643
0.534335	23.294733
0.72014	24.235443
0.400485	22.587347
0.837004	24.189244
0.371508	22.438189
0.806041	24.46554
0.840005	24.190851
0.500728	23.276559
0.532765	23.313086
0.533766	23.454678
0.932229	24.775178
0.822103	24.189188
0.553797	23.411247
0.125298	19.752286
0.842123	24.283047
0.443668	22.994747
0.727675	23.946563
0.683659	24.054688
0.442548	22.663818
0.726679	23.896775
0.28251	22.151638
0.404549	22.602742
0.519611	22.873755
0.690652	24.378431
1.060801	24.70787
0.576612	23.456685
0.268489	21.711856
0.72068	23.914145
0.250498	21.864224
0.760691	23.906693
0.698167	23.730103
0.550315	23.219524
0.730128	23.905124
0.847985	24.196452
0.997826	24.529085
0.435446	22.524456
0.40947	22.557433
0.30159	21.442454
1.299106	25.691231
1.020807	24.965297
0.839734	24.362709
1.12085	25.147113
1.230892	26.046776
0.97423	24.886143
0.970782	25.020075
0.064229	18.347945
0.12903	20.336945
0.10289	19.156988
0.04413	17.531728
0.11304	19.114133
0.25611	21.537919
0.38026	22.200281
0.14547	20.28342
0.08889	19.115082
0.26059	21.218177
0.07891	19.149702
0.08304	19.38627
0.16565	20.412042
0.16817	20.17402
0.17063	20.781976
0.17028	20.134725
0.12044	20.209823
0.27653	21.365495
